product_code,description,batch_code
75NANO80ASA,LG 75 NANO80A AI LED UHD 4K SMART TV,005212508412
,LG 75 NANO80A AI LED UHD 4K SMART TV,5212508467
75QNED81ASA,LG 75 QNED81A AI LED UHD 4K SMART TV,
75QNED81ASA,LG 75 QNED81A AI LED UHD 4K SMART TV,00521250933
,LG 75 QNED81A AI LED UHD 4K SMART TV,5212509344
75QNED86ASA,LG 75 QNED86A EVO AI MINI LED UHD 4K,
75QNED86ASA,LG 75 QNED86A EVO AI MINI LED UHD 4K,00521250794
,LG 75 QNED86A EVO AI MINI LED UHD 4K,151250792
75QNED93ASAQ,LG 75 QNED93A EVO MINI LED AI UHD 4K,
75QNED93ASAQ,LG 75 QNED93A EVO MINI LED AI UHD 4K,00521251425
,LG 75 QNED93A EVO MINI LED AI UHD 4K,139251682
86NANO80ASA,LG 86 NANO80A AI LED UHD 4K SMART TV,
86NANO80ASA,LG 86 NANO80A AI LED UHD 4K SMART TV,005212508413
,LG 86 NANO80A AI LED UHD 4K SMART TV,5212508468
86QNED81TSA,LG 86 QNED81 4K UHD LED SMART TV 2024,
86QNED81TSA,LG 86 QNED81 4K UHD LED SMART TV 2024,00521241239
,LG 86 QNED81 4K UHD LED SMART TV 2024,151242771
86QNED86ASA,LG 86 QNED86A EVO AI MINI LED UHD 4K,
86QNED86ASA,LG 86 QNED86A EVO AI MINI LED UHD 4K,005212508415
,LG 86 QNED86A EVO AI MINI LED UHD 4K,15125084
98QNED89TSAQ,LG 98 QNED89 4K UHD FULL ARRAY LED SMAR,
98QNED89TSAQ,LG 98 QNED89 4K UHD FULL ARRAY LED SMAR,0052124186
,LG 98 QNED89 4K UHD FULL ARRAY LED SMAR,521241861
HU710PB,LG CINEBEAM Q SMALL 4K UHD PROJECTOR,
HU710PB,LG CINEBEAM Q SMALL 4K UHD PROJECTOR,00521242546
,LG CINEBEAM Q SMALL 4K UHD PROJECTOR,5212425442
OLED42C4PSA,LG 42 OLED EVO C4 4K UHD SMART TV 2024,
OLED42C4PSA,LG 42 OLED EVO C4 4K UHD SMART TV 2024,00521240818
OLED42C5PSA,LG 42 OLED EVO C5 AI UHD 4K SMART TV,
OLED42C5PSA,LG 42 OLED EVO C5 AI UHD 4K SMART TV,00521250792
,LG 42 OLED EVO C5 AI UHD 4K SMART TV,5212507931
OLED48B5PSA,LG 48 OLED B5 AI UHD 4K SMART TV,
OLED48B5PSA,LG 48 OLED B5 AI UHD 4K SMART TV,00521250797
,LG 48 OLED B5 AI UHD 4K SMART TV,15125079
OLED48C5PSA,LG 48 OLED EVO C5 AI UHD 4K SMART TV,
OLED48C5PSA,LG 48 OLED EVO C5 AI UHD 4K SMART TV,005212508414
,LG 48 OLED EVO C5 AI UHD 4K SMART TV,5212508470
OLED55B5PSA,LG 55 OLED B5 AI UHD 4K SMART TV,
OLED55B5PSA,LG 55 OLED B5 AI UHD 4K SMART TV,005212508416
,LG 55 OLED B5 AI UHD 4K SMART TV,151250841
OLED55C5PSA,LG 55 OLED EVO C5 AI UHD 4K SMART TV,
OLED55C5PSA,LG 55 OLED EVO C5 AI UHD 4K SMART TV,0052125079
,LG 55 OLED EVO C5 AI UHD 4K SMART TV,5212507928
OLED55G5PSA,LG 55 OLED EVO G5 AI UHD 4K SMART TV,
OLED55G5PSA,LG 55 OLED EVO G5 AI UHD 4K SMART TV,521250866
OLED65B5PSA,LG 65 OLED B5 AI UHD 4K SMART TV,
OLED65B5PSA,LG 65 OLED B5 AI UHD 4K SMART TV,005212508417
,LG 65 OLED B5 AI UHD 4K SMART TV,151250842
OLED65C4PSA,LG 65 OLED EVO C4 4K UHD SMART TV 2024,
OLED65C4PSA,LG 65 OLED EVO C4 4K UHD SMART TV 2024,11825150
OLED65C5PSA,LG 65 OLED EVO C5 AI UHD 4K SMART TV,
OLED65C5PSA,LG 65 OLED EVO C5 AI UHD 4K SMART TV,00521250791
,LG 65 OLED EVO C5 AI UHD 4K SMART TV,5212507929
OLED65G5PSA,LG 65 OLED EVO G5 AI UHD 4K SMART TV,
OLED65G5PSA,LG 65 OLED EVO G5 AI UHD 4K SMART TV,00521250861
,LG 65 OLED EVO G5 AI UHD 4K SMART TV,521250867
OLED77C4PSA,LG 77 OLED EVO C4 4K UHD SMART TV 2024,
OLED77C4PSA,LG 77 OLED EVO C4 4K UHD SMART TV 2024,00521240794
,LG 77 OLED EVO C4 4K UHD SMART TV 2024,151241243
OLED77C5PSA,LG 77 OLED EVO C5 AI UHD 4K SMART TV,
OLED77C5PSA,LG 77 OLED EVO C5 AI UHD 4K SMART TV,00521250796
,LG 77 OLED EVO C5 AI UHD 4K SMART TV,151250793
OLED77G5PSA,LG 77 OLED EVO G5 AI UHD 4K SMART TV,
OLED77G5PSA,LG 77 OLED EVO G5 AI UHD 4K SMART TV,00521250934
,LG 77 OLED EVO G5 AI UHD 4K SMART TV,1392516812
OLED83C4PSA,LG 83 OLED EVO C4 4K UHD SMART TV 2024,
OLED83C4PSA,LG 83 OLED EVO C4 4K UHD SMART TV 2024,0013924080
OLED83C5PSA,LG 83 OLED EVO C5 AI UHD 4K SMART TV,
OLED83C5PSA,LG 83 OLED EVO C5 AI UHD 4K SMART TV,00521251543
,LG 83 OLED EVO C5 AI UHD 4K SMART TV,5212515418
OLED83G4PSA,LG 83 OLED EVO G4 4K UHD SMART TV 2024,
OLED83G4PSA,LG 83 OLED EVO G4 4K UHD SMART TV 2024,00521240819
OLED83G5PSA,LG 83 OLED EVO G5 AI UHD 4K SMART TV,
OLED83G5PSA,LG 83 OLED EVO G5 AI UHD 4K SMART TV,005212508418
,LG 83 OLED EVO G5 AI UHD 4K SMART TV,151250843
S40T,LG 2.1CH 300W DOLBY DIGITAL SOUNDBAR,
S40T,LG 2.1CH 300W DOLBY DIGITAL SOUNDBAR,005212408110
,LG 2.1CH 300W DOLBY DIGITAL SOUNDBAR,151240821
S60T,LG 3.1CH 340W DOLBY DIGITAL SOUNDBAR,
S60T,LG 3.1CH 340W DOLBY DIGITAL SOUNDBAR,005212408111
,LG 3.1CH 340W DOLBY DIGITAL SOUNDBAR,5212408122
S70TY,LG 3.1.1CH 400W DOLBY ATMOS SOUNDBAR,
S70TY,LG 3.1.1CH 400W DOLBY ATMOS SOUNDBAR,005212408112
,LG 3.1.1CH 400W DOLBY ATMOS SOUNDBAR,151240822
